Gattung;Zugnummer;Hängt an Zugnummer$Flügelrichtung (v = nach vorne, h = nach hinten, ohne Angabe = kein Flügeln);Herkunft;Startbetriebsstelle;aus Richtung;Fahrtziel;Zielbetriebsstelle;Gleis;an;ab;min. Aufenthalt;rangiert um;weiter als;Vereinigt sich mit Zugnummern ($-getrennt);Kann das Gleis mit Zügen teilen (Zugnummern durch $ getrennt)
ICE;952;942;Berlin Ostbahnhof;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 12;11:23;11:31;2;;;;
ICE;545;555;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;11:24;11:31;2;;;;
ICE;555;;Bonn Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;11:24;11:31;2;;;;
ICE;1082;;München Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 8;11:27;11:36;2;;;;
ICE;1132;1082$h;München Hbf;von SFS;O;Bremen Hbf;nach Wunstorf;Gleis 8;11:27;11:45;2;;;;
ICE;75;;Hamburg-Altona;von Langenhagen;W;Zürich HB;nach SFS;Gleis 4;11:34;11:41;2;;;;
RE;4413;;Bremen Hbf;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;11:34;11:45;2;;;;
RE;14013;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;11:35;11:46;2;;;;
RE;14067;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bad Harzburg;nach Alfeld;Gleis 3;11:36;11:48;5;;;;
IC;2017;;Rangierbahnhof Pferdeturm;Pferdeturm;O;München Hbf;nach Wunstorf;Gleis 12;11:39;11:56;2;;;;
RE;4877;;Bielefeld Hbf;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 10;11:46;11:55;2;;;;
S7;34023;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;11:49;12:04;5;;S7 34024;;
IC;2376;;Stuttgart Hbf;von SFS;O;Stralsund Hbf;nach Langenhagen;Gleis 8;11:51;11:59;2;;;;
IC;2371;;Hamburg-Altona;von Langenhagen;W;Karlsruhe Hbf;nach SFS;Gleis 4;11:54;12:01;2;;;;
RE;4878;;Braunschweig Hbf;von Lehrte;O;Bielefeld Hbf;nach Wunstorf;Gleis 12;12:00;12:09;2;;;;
RE;14066;;Bad Harzburg;von Alfeld;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 7;12:05;12:17;5;;;;
RE;14012;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;12:07;12:19;2;;;;
RE;4416;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bremen Hbf;nach Wunstorf;Gleis 12;12:09;12:21;2;;;;
ICE;537;;Bremen Hbf;von Wunstorf;W;München Hbf;nach SFS;Gleis 4;12:10;12:26;2;;;587;587
ME;82827;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;12:10;12:33;2;;;;
S6;34613;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;12:10;12:41;5;;S6 34614;;
ICE;78;;Basel SBB;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 8;12:12;12:20;2;;;;
IC;2441;;Köln Hbf;von Wunstorf;W;Leipzig Hbf;nach Lehrte;Gleis 10;12:14;12:36;2;;;;
ME;82826;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 7;12:18;12:40;2;;;;
IC;2430;;Dresden Hbf;von Lehrte;O;Oldenburg(Oldb);nach Wunstorf;Gleis 11;12:18;12:45;2;;;;
ICE;587;;Hamburg-Altona;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;12:19;12:26;2;;;537;537
S3;34314;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 13;12:19;12:34;5;;S3 34317;;
ICE;640;;Berlin Ostbahnhof;von Lehrte;O;Düsseldorf Hbf;nach Wunstorf;Gleis 12;12:23;12:31;2;;;;
ICE;650;640;Berlin Ostbahnhof;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 12;12:23;12:31;2;;;;
ICE;847;857;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;12:24;12:31;2;;;;
ICE;857;;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;12:24;12:31;2;;;;
ICE;882;;München Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 8;12:27;12:36;2;;;;
IC;146;;Berlin Ostbahnhof;von Lehrte;O;Amsterdam Centraal;nach Wunstorf;Gleis 12;12:32;12:40;2;;;;
ICE;577;;Hamburg-Altona;von Langenhagen;W;Stuttgart Hbf;nach SFS;Gleis 4;12:34;12:41;2;;;;
RE;4415;;Norddeich Mole;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;12:34;12:45;2;;;;
RE;14015;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;12:35;12:46;2;;;;
IC;2170;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Westerland(Sylt);nach Langenhagen;Gleis 8;12:39;12:59;2;;;;
IC;2348;;Hamburg-Altona;von Langenhagen;W;Düsseldorf Hbf;nach Wunstorf;Gleis 3;12:42;12:56;5;;;;
RE;3609;;Hannover-Hainholz;von Langenhagen;W;Halle(Saale)Hbf;nach Alfeld;Gleis 7;12:44;12:55;2;;;;
RE;4847;;Rheine;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 9;12:46;12:55;2;;;;
IC;1991;;Berlin Südkreuz;von Lehrte;O;Frankfurt(Main)Hbf;nach SFS;Gleis 10;12:48;13:01;5;;;;
S7;34025;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;12:49;13:04;5;;S7 34026;;
RE;4848;;Braunschweig Hbf;von Lehrte;O;Rheine;nach Wunstorf;Gleis 12;13:00;13:09;2;;;;
RE;3608;;Halle(Saale)Hbf;von Alfeld;O;Hannover-Hainholz;nach Langenhagen;Gleis 8;13:01;13:13;2;;;;
RE;14014;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;13:07;13:19;2;;;;
RE;4418;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Norddeich Mole;nach Wunstorf;Gleis 12;13:09;13:21;2;;;;
IC;2039;;Oldenburg(Oldb);von Wunstorf;W;Leipzig Hbf;nach Lehrte;Gleis 10;13:10;13:36;2;;;;
ME;82829;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;13:10;13:36;2;;;;
S6;34615;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;13:10;13:41;5;;S6 34616;;
ICE;770;;Stuttgart Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;13:12;13:20;2;;;;
IC;143;;Amsterdam Centraal;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;13:14;13:21;2;;;;
ICE;789;;Hamburg-Altona;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;13:17;13:26;2;;;;
IC;2048;;Leipzig Hbf;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 11;13:18;13:40;2;;;;
S3;34316;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 13;13:19;13:34;5;;S3 34319;;
ME;82828;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 7;13:21;13:40;2;;;;
ICE;940;;Berlin Ostbahnhof;von Lehrte;O;Köln/Bonn Flughafen;nach Wunstorf;Gleis 12;13:23;13:31;2;;;;
ICE;950;940;Berlin Ostbahnhof;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 12;13:23;13:31;2;;;;
ICE;547;557;Köln/Bonn Flughafen;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;13:24;13:31;2;;;;
ICE;557;;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;13:24;13:31;2;;;;
ICE;680;;München Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 8;13:27;13:36;2;;;;
ICE;630;680$h;München Hbf;von SFS;O;Bremen Hbf;nach Wunstorf;Gleis 8;13:27;13:45;2;;;;
ICE;77;;Kiel Hbf;von Langenhagen;W;Zürich HB;nach SFS;Gleis 4;13:34;13:41;2;;;;
RE;4417;;Bremen Hbf;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;13:34;13:45;2;;;;
RE;14017;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;13:35;13:46;2;;;;
RE;14069;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bad Harzburg;nach Alfeld;Gleis 3;13:36;13:48;5;;;;
RE;14094;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Nienburg(Weser);nach Wunstorf;Gleis 12;13:39;13:51;2;;;;
RE;4879;;Bielefeld Hbf;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 10;13:46;13:55;2;;;;
IC;1915;;Berlin Südkreuz;von Lehrte;O;Stuttgart Hbf;nach Wunstorf;Gleis 13;13:48;13:56;2;;;;
S7;34027;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;13:49;14:04;5;;S7 34028;;
IC;2174;;Karlsruhe Hbf;von SFS;O;Rostock Hbf;nach Langenhagen;Gleis 8;13:51;13:59;2;;;;
IC;2373;;Stralsund Hbf;von Langenhagen;W;Karlsruhe Hbf;nach SFS;Gleis 4;13:54;14:01;2;;;;
IC;2010;;Tübingen Hbf;von Wunstorf;W;Berlin Südkreuz;nach Lehrte;Gleis 9;13:57;14:04;2;;;;
RE;4880;;Braunschweig Hbf;von Lehrte;O;Bielefeld Hbf;nach Wunstorf;Gleis 11;14:00;14:09;2;;;;
IC;1933;;Oldenburg(Oldb);von Wunstorf;W;Leipzig Hbf;nach Lehrte;Gleis 10;14:03;14:11;2;;;;
RE;14068;;Bad Harzburg;von Alfeld;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 8;14:05;14:17;5;;;;
RE;14016;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;14:07;14:19;2;;;;
RE;4420;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bremen Hbf;nach Wunstorf;Gleis 12;14:09;14:21;2;;;;
ICE;1139;;Bremen Hbf;von Wunstorf;W;München Hbf;nach SFS;Gleis 4;14:10;14:26;2;;;1189;1189
ME;82831;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;14:10;14:33;2;;;;
S6;34617;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;14:10;14:41;5;;S6 34618;;
ICE;76;;Zürich HB;von SFS;O;Kiel Hbf;nach Langenhagen;Gleis 7;14:12;14:20;2;;;;
IC;2049;;Köln Hbf;von Wunstorf;W;Leipzig Hbf;nach Lehrte;Gleis 10;14:14;14:36;2;;;;
ME;82830;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 8;14:18;14:40;2;;;;
IC;2038;;Leipzig Hbf;von Lehrte;O;Oldenburg(Oldb);nach Wunstorf;Gleis 11;14:18;14:45;2;;;;
ICE;1189;;Hamburg-Altona;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;14:19;14:26;2;;;1139;1139
S3;34318;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 13;14:19;14:34;5;;S3 34321;;
ICE;548;;Berlin Ostbahnhof;von Lehrte;O;Düsseldorf Hbf;nach Wunstorf;Gleis 12;14:23;14:31;2;;;;
ICE;558;548;Berlin Ostbahnhof;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 12;14:23;14:31;2;;;;
ICE;849;859;Düsseldorf Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;14:24;14:31;2;;;;
ICE;859;;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;14:24;14:31;2;;;;
ICE;880;;München Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;14:27;14:36;2;;;;
RE;14019;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;14:31;14:41;2;;;;
IC;144;;Berlin Ostbahnhof;von Lehrte;O;Amsterdam Centraal;nach Wunstorf;Gleis 12;14:32;14:40;2;;;;
ICE;579;;Hamburg-Altona;von Langenhagen;W;Stuttgart Hbf;nach SFS;Gleis 4;14:34;14:41;2;;;;
RE;4419;;Norddeich Mole;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;14:34;14:45;2;;;;
RE;3611;;Hannover-Hainholz;von Langenhagen;W;Halle(Saale)Hbf;nach Alfeld;Gleis 7;14:37;14:49;2;;;;
RE;14096;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Nienburg(Weser);nach Wunstorf;Gleis 12;14:39;14:51;2;;;;
RE;4849;;Rheine;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 9;14:46;14:55;2;;;;
IC;1981;;Flensburg;von Langenhagen;W;München Hbf;nach SFS;Gleis 3;14:47;14:54;2;;;;
ICE;1193;;Berlin Südkreuz;von Lehrte;O;Frankfurt(Main)Hbf;nach SFS;Gleis 7;14:49;15:01;5;;;;
S7;34029;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;14:49;15:04;5;;S7 34030;;
IC;1972;;Frankfurt(Main)Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 8;14:54;15:02;2;;;;
IC;1949;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Leipzig Hbf;nach Lehrte;Gleis 11;14:54;15:10;5;;;;
IC;2426;;Köln Hbf;von Wunstorf;W;Seebad Heringsdorf;nach Lehrte;Gleis 9;14:57;15:04;2;;;;
RE;4850;;Braunschweig Hbf;von Lehrte;O;Rheine;nach Wunstorf;Gleis 12;15:00;15:09;2;;;;
RE;3610;;Halle(Saale)Hbf;von Alfeld;O;Hannover-Hainholz;nach Langenhagen;Gleis 8;15:01;15:13;2;;;;
RE;14840;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Minden(Westf);nach Wunstorf;Gleis 12;15:05;15:17;2;;;;
RE;14018;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;15:07;15:19;2;;;;
RE;4422;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Norddeich Mole;nach Wunstorf;Gleis 11;15:09;15:21;2;;;;
IC;2431;;Emden Außenhafen;von Wunstorf;W;Cottbus;nach Lehrte;Gleis 10;15:10;15:36;2;;;;
ME;82833;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;15:10;15:36;2;;;;
S6;34619;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;15:10;15:41;5;;S6 34620;;
ICE;578;;Stuttgart Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;15:12;15:20;2;;;;
IC;145;;Amsterdam Centraal;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;15:14;15:21;2;;;;
IC;2440;;Leipzig Hbf;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 12;15:18;15:40;2;;;;
ICE;881;;Hamburg-Altona;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;15:19;15:26;2;;;;
S3;34320;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 13;15:19;15:34;5;;S3 34323;;
ME;82832;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 7;15:21;15:40;2;;;;
ICE;848;;Berlin Ostbahnhof;von Lehrte;O;Düsseldorf Hbf;nach Wunstorf;Gleis 11;15:23;15:31;2;;;;
ICE;858;848;Berlin Ostbahnhof;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 11;15:23;15:31;2;;;;
ICE;549;559;Köln/Bonn Flughafen;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;15:24;15:31;2;;;;
ICE;559;;Bonn Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;15:24;15:31;2;;;;
ICE;588;;München Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 8;15:27;15:36;2;;;;
ICE;538;588$h;München Hbf;von SFS;O;Bremen Hbf;nach Wunstorf;Gleis 8;15:27;15:45;2;;;;
ICE;79;;Hamburg-Altona;von Langenhagen;W;Basel SBB;nach SFS;Gleis 4;15:34;15:41;2;;;;
RE;4421;;Bremen Hbf;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;15:34;15:45;2;;;;
RE;14021;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;15:35;15:46;2;;;;
RE;14071;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bad Harzburg;nach Alfeld;Gleis 3;15:36;15:48;5;;;;
IC;1927;;Hamburg-Altona;von Langenhagen;W;Köln Hbf;nach Wunstorf;Gleis 12;15:42;15:56;5;;;;
RE;4881;;Bielefeld Hbf;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 9;15:46;15:55;2;;;;
IC;2385;;Berlin Südkreuz;von Lehrte;O;Karlsruhe Hbf;nach SFS;Gleis 11;15:48;16:01;5;;;;
S7;34031;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;15:49;16:04;5;;S7 34032;;
IC;2372;;Frankfurt(Main)Hbf;von SFS;O;Stralsund Hbf;nach Langenhagen;Gleis 8;15:51;15:59;2;;;;
RE;14039;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;15:56;16:07;2;;;;
IC;1918;;Aachen Hbf;von Wunstorf;W;Dresden Hbf;nach Lehrte;Gleis 9;15:57;16:04;2;;;;
RE;4882;;Braunschweig Hbf;von Lehrte;O;Bielefeld Hbf;nach Wunstorf;Gleis 12;16:00;16:09;2;;;;
RE;14851;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Braunschweig Hbf;nach Lehrte;Gleis 9;16:04;16:16;5;;;;
RE;14070;;Bad Harzburg;von Alfeld;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 8;16:05;16:17;5;;;;
RE;14842;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Minden(Westf);nach Wunstorf;Gleis 11;16:05;16:17;2;;;;
RE;14020;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;16:07;16:19;2;;;;
RE;4424;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bremen Hbf;nach Wunstorf;Gleis 12;16:09;16:21;2;;;;
ICE;631;;Bremen Hbf;von Wunstorf;W;München Hbf;nach SFS;Gleis 4;16:10;16:26;2;;;681;681
ME;82835;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;16:10;16:33;2;;;;
S6;34621;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;16:10;16:41;5;;S6 34622;;
ICE;74;;Zürich HB;von SFS;O;Kiel Hbf;nach Langenhagen;Gleis 7;16:12;16:20;2;;;;
IC;2047;;Köln Hbf;von Wunstorf;W;Leipzig Hbf;nach Lehrte;Gleis 10;16:14;16:36;2;;;;
ME;82834;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 8;16:18;16:40;2;;;;
IC;2036;;Leipzig Hbf;von Lehrte;O;Norddeich Mole;nach Wunstorf;Gleis 11;16:18;16:45;2;;;;
ICE;681;;Hamburg-Altona;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;16:19;16:26;2;;;631;631
S3;34322;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 13;16:19;16:34;5;;S3 34325;;
ICE;546;;Berlin Ostbahnhof;von Lehrte;O;Köln/Bonn Flughafen;nach Wunstorf;Gleis 12;16:23;16:31;2;;;;
ICE;556;546;Berlin Ostbahnhof;von Lehrte;O;Koblenz Hbf;nach Wunstorf;Gleis 12;16:23;16:31;2;;;;
ICE;941;951;Düsseldorf Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;16:24;16:31;2;;;;
ICE;951;;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;16:24;16:31;2;;;;
ICE;788;;München Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;16:27;16:36;2;;;;
IC;142;;Berlin Hbf (tief);von Lehrte;O;Amsterdam Centraal;nach Wunstorf;Gleis 12;16:32;16:40;2;;;;
ICE;771;;Hamburg-Altona;von Langenhagen;W;Stuttgart Hbf;nach SFS;Gleis 3;16:34;16:41;2;;;;
RE;4423;;Norddeich Mole;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;16:34;16:45;2;;;;
RE;14023;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;16:35;16:46;2;;;;
RE;3613;;Hannover-Hainholz;von Langenhagen;W;Halle(Saale)Hbf;nach Alfeld;Gleis 7;16:44;16:55;2;;;;
RE;4851;;Rheine;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 10;16:46;16:55;2;;;;
IC;1921;;Berlin Südkreuz;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 13;16:48;16:56;2;;;;
IC;2082;;Berchtesgaden Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 8;16:49;16:57;2;;;;
IC;2084;2082;Oberstdorf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 8;16:49;16:57;2;;;;
S7;34033;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;16:49;17:04;5;;S7 34034;;
IC;2171;;Westerland(Sylt);von Langenhagen;W;Stuttgart Hbf;nach SFS;Gleis 3;16:56;17:04;2;;;;
RE;14041;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;16:56;17:07;2;;;;
IC;1922;;Stuttgart Hbf;von Wunstorf;W;Berlin Südkreuz;nach Lehrte;Gleis 10;16:57;17:04;2;;;;
RE;4852;;Braunschweig Hbf;von Lehrte;O;Rheine;nach Wunstorf;Gleis 12;17:00;17:09;2;;;;
RE;3612;;Halle(Saale)Hbf;von Alfeld;O;Hannover-Hainholz;nach Langenhagen;Gleis 8;17:01;17:13;2;;;;
RE;14853;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Braunschweig Hbf;nach Lehrte;Gleis 9;17:01;17:13;5;;;;
RE;14022;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;17:07;17:19;2;;;;
RE;4426;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Norddeich;nach Wunstorf;Gleis 12;17:09;17:21;2;;;;
IC;2433;;Oldenburg(Oldb);von Wunstorf;W;Leipzig Hbf;nach Lehrte;Gleis 10;17:10;17:36;2;;;;
ME;82837;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;17:10;17:36;2;;;;
S6;34623;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;17:10;17:41;5;;S6 34624;;
ICE;576;;Stuttgart Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;17:12;17:20;2;;;;
IC;147;;Amsterdam Centraal;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;17:14;17:21;2;;;;
ICE;1183;;Kiel Hbf;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;17:17;17:26;2;;;;
IC;2442;;Leipzig Hbf;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 11;17:18;17:40;2;;;;
S3;34324;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 13;17:19;17:34;5;;S3 34327;;
ME;82836;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 8;17:21;17:40;2;;;;
ICE;856;1046;Berlin Ostbahnhof;von Lehrte;O;Bonn Hbf;nach Wunstorf;Gleis 12;17:23;17:31;2;;;;
ICE;1046;;Berlin Ostbahnhof;von Lehrte;O;Mönchengladbach Hbf;nach Wunstorf;Gleis 12;17:23;17:31;2;;;;
ICE;641;651;Düsseldorf Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;17:24;17:31;2;;;;
ICE;651;;Bonn Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;17:24;17:31;2;;;;
ICE;586;;München Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;17:27;17:36;2;;;;
ICE;536;586$h;München Hbf;von SFS;O;Bremen Hbf;nach Wunstorf;Gleis 7;17:27;17:45;2;;;;
ICE;671;;Hamburg-Altona;von Langenhagen;W;Karlsruhe Hbf;nach SFS;Gleis 4;17:34;17:41;2;;;;
RE;4425;;Bremen Hbf;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;17:34;17:45;2;;;;
RE;14025;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;17:35;17:46;2;;;;
RE;14073;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bad Harzburg;nach Alfeld;Gleis 3;17:36;17:48;5;;;;
RE;4883;;Bielefeld Hbf;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 9;17:46;17:55;2;;;;
IC;1923;;Berlin Südkreuz;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 11;17:48;17:56;2;;;;
S7;34035;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;17:49;18:04;5;;S7 34036;;
IC;2270;;Konstanz;von SFS;O;Stralsund Hbf;nach Langenhagen;Gleis 8;17:51;17:59;2;;;;
IC;2377;;Ostseebad Binz;von Langenhagen;W;Karlsruhe Hbf;nach SFS;Gleis 4;17:53;18:01;2;;;;
RE;14043;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 10;17:56;18:07;2;;;;
IC;1216;;Salzburg Hbf;von Wunstorf;W;Berlin Südkreuz;nach Lehrte;Gleis 9;17:57;18:04;2;;;;
RE;4884;;Braunschweig Hbf;von Lehrte;O;Bielefeld Hbf;nach Wunstorf;Gleis 13;18:00;18:09;2;;;;
RE;14855;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Braunschweig Hbf;nach Lehrte;Gleis 12;18:04;18:16;5;;;;
RE;14072;;Bad Harzburg;von Alfeld;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 8;18:05;18:17;5;;;;
RE;14846;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Minden(Westf);nach Wunstorf;Gleis 11;18:05;18:17;2;;;;
RE;14024;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;18:07;18:19;2;;;;
RE;4428;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bremen Hbf;nach Wunstorf;Gleis 9;18:09;18:21;2;;;;
ICE;633;;Bremen Hbf;von Wunstorf;W;München Hbf;nach SFS;Gleis 4;18:10;18:26;2;;;683;683
ME;82839;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;18:10;18:33;2;;;;
S6;34625;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;18:10;18:41;5;;S6 34626;;
